N,E
50,0.496962
50,0.519360
50,0.522528
49,0.482584
49,0.509325
51,0.513284
50,0.449059
50,0.498551
50,0.510827
50,0.489239
50,0.485301
50,0.498653
50,0.493864
50,0.524900
50,0.543491
50,0.554225
49,0.511494
49,0.511975
49,0.514594
52,0.517199
50,0.531345
50,0.554049
49,0.530360
50,0.549696
50,0.530472
50,0.524834
50,0.520984
50,0.511340
50,0.512064
50,0.528227
50,0.525852
50,0.566713
50,0.580339
50,0.582510
50,0.557317
50,0.554428
49,0.539280
50,0.521453
50,0.477575
48,0.465284
51,0.521588
51,0.499327
49,0.504471
50,0.508881
49,0.505439
50,0.481534
50,0.477847
50,0.484085
50,0.488940
50,0.485319
50,0.506664
51,0.503917
51,0.536150
50,0.527589
50,0.541974
50,0.542010
50,0.536696
50,0.513355
50,0.506988
49,0.510282
51,0.495698
50,0.496765
51,0.493684
50,0.505198
50,0.512816
50,0.522190
51,0.533897
51,0.550272
51,0.559333
50,0.533199
50,0.556521
51,0.562306
50,0.571893
50,0.578976
50,0.579491
50,0.576390
50,0.577269
50,0.578009
50,0.534324
51,0.559059
50,0.551413
50,0.579225
50,0.578863
50,0.583371
50,0.596833
50,0.613097
50,0.605177
50,0.556047
50,0.569259
50,0.553580
50,0.583001
51,0.597579
51,0.599505
48,0.451851
49,0.592952
50,0.556424
50,0.574320
49,0.481762
50,0.486765
50,0.482929
50,0.471962
50,0.477454
50,0.494210
50,0.506109
50,0.493385
50,0.497521
49,0.477382
50,0.474368
50,0.500286
50,0.503042
50,0.475926
51,0.469973
49,0.440536
50,0.470564
50,0.487461
50,0.481774
50,0.489661
50,0.483514
50,0.511136
50,0.508513
49,0.447294
51,0.487254
51,0.522073
51,0.528313
51,0.526898
48,0.410431
50,0.503636
52,0.496420
51,0.479368
51,0.471003
49,0.467794
49,0.479020
51,0.507971
50,0.485540
51,0.453180
50,0.452246
50,0.427745
49,0.392780
50,0.433014
50,0.425362
50,0.424006
50,0.447954
50,0.454770
50,0.471899
50,0.457918
50,0.452485
50,0.460596
50,0.472275
49,0.449259
52,0.502739
51,0.443450
50,0.441926
50,0.461910
51,0.470803
50,0.441724
49,0.411888
50,0.426215
50,0.425836
50,0.409854
50,0.414586
50,0.411978
49,0.406329
52,0.468392
52,0.428399
50,0.408583
49,0.370846
51,0.392274
50,0.333892
50,0.375447
50,0.387440
50,0.377632
50,0.381739
50,0.383246
50,0.368427
50,0.373621
51,0.383568
51,0.370750
51,0.377267
51,0.371587
50,0.397940
50,0.405071
50,0.391134
49,0.353755
51,0.356502
51,0.372627
50,0.388543
50,0.382772
51,0.369186
51,0.377022
50,0.399871
50,0.421795
50,0.420047
50,0.450968
50,0.444663
50,0.453043
50,0.468644
50,0.469684
50,0.477116
51,0.469369
50,0.502692
49,0.468976
52,0.449208
52,0.428294
46,0.337769
52,0.429146
49,0.377317
51,0.403161
51,0.393770
51,0.415818
50,0.424372
50,0.426085
50,0.423932
50,0.432462
50,0.425848
50,0.421049
50,0.423769
50,0.454460
50,0.489373
50,0.488010
51,0.488631
50,0.517914
50,0.528202
50,0.546715
50,0.550964
50,0.562827
51,0.538422
50,0.458670
50,0.470464
50,0.500577
50,0.472372
50,0.484148
50,0.468263
51,0.491533
51,0.487115
51,0.477121
49,0.483829
50,0.511031
50,0.465707
50,0.463245
50,0.452856
50,0.465824
49,0.387852
52,0.439136
49,0.408772
50,0.448274
50,0.423411
50,0.439999
51,0.425125
50,0.445130
49,0.434625
49,0.453195
51,0.487417
50,0.431200
50,0.438046
50,0.466450
50,0.456691
50,0.469879
50,0.480615
50,0.460131
50,0.477035
50,0.475221
50,0.494306
50,0.496120
50,0.518076
50,0.527035
50,0.550473
50,0.545019
50,0.545291
50,0.561352
50,0.545599
50,0.533868
50,0.554136
50,0.544549
50,0.541275
51,0.543061
50,0.574845
50,0.598026
50,0.608997
50,0.621541
52,0.608883
48,0.411022
51,0.445810
49,0.443821
49,0.462202
49,0.481232
50,0.489897
50,0.494409
50,0.494852
50,0.484149
50,0.488764
51,0.518412
50,0.517430
50,0.553055
