N,E
57,0.542212
57,0.536975
57,0.544804
58,0.556299
58,0.547467
56,0.463415
56,0.504562
56,0.516418
56,0.525058
56,0.529648
56,0.550285
56,0.548587
56,0.564222
55,0.558116
55,0.566761
56,0.567563
56,0.568218
55,0.533268
55,0.548313
55,0.544939
54,0.477483
54,0.490624
55,0.507501
55,0.519959
55,0.528954
56,0.516884
56,0.524671
56,0.526148
57,0.501751
57,0.503895
55,0.389769
55,0.421918
55,0.436450
55,0.442897
56,0.422123
55,0.382565
54,0.366240
54,0.404632
54,0.420967
54,0.429612
54,0.442661
54,0.458214
54,0.488755
53,0.428265
53,0.475912
53,0.462206
53,0.473408
53,0.486668
54,0.482613
54,0.485065
53,0.466169
53,0.491544
53,0.496209
53,0.511013
53,0.522152
53,0.526552
55,0.530778
54,0.498556
54,0.512958
53,0.498017
54,0.483077
54,0.499107
53,0.477492
53,0.485408
53,0.476455
53,0.494031
53,0.517803
53,0.547960
53,0.522433
53,0.526796
53,0.548518
54,0.534896
55,0.521739
55,0.526843
55,0.548828
55,0.561268
55,0.572182
55,0.584140
55,0.586303
55,0.584506
56,0.564909
56,0.559882
56,0.590036
56,0.598649
56,0.606092
55,0.558804
55,0.580036
55,0.539178
54,0.530573
54,0.527276
54,0.518056
54,0.534845
53,0.453060
54,0.526487
54,0.543746
54,0.558759
54,0.542890
55,0.557436
55,0.540601
55,0.533432
55,0.530275
55,0.554569
56,0.568800
55,0.531189
54,0.524523
54,0.518897
54,0.509180
54,0.490298
54,0.459750
54,0.477432
54,0.476273
54,0.509099
53,0.493449
53,0.509125
53,0.514274
53,0.522498
53,0.529668
53,0.546315
53,0.545385
53,0.543756
53,0.565193
54,0.544842
53,0.482644
53,0.474390
53,0.468363
53,0.475508
53,0.464605
53,0.479046
53,0.482522
53,0.482115
53,0.467668
52,0.431576
52,0.443501
52,0.465373
53,0.456758
53,0.447627
53,0.433906
52,0.413644
52,0.388181
52,0.377955
51,0.370809
51,0.351978
51,0.335961
50,0.321146
50,0.314433
49,0.297694
48,0.255818
48,0.261343
49,0.266800
49,0.281993
49,0.287668
49,0.299147
49,0.317260
49,0.331077
49,0.361653
49,0.372185
49,0.374186
49,0.396819
49,0.399004
50,0.391546
51,0.385802
51,0.378698
51,0.390290
51,0.388489
51,0.395920
51,0.401234
51,0.431709
51,0.417393
51,0.427672
51,0.413254
